ID,Product,Region,Profession,Age,First Rate Paid,Contract sum,Closing Date
129,Life,150,Employee,46,N,"5,000",Aug-90
130,Household,150,Farmer,47,Y,"5,000",Aug-90
131,Life,150,Civil servant,47,Y,"5,000",Aug-90
132,Life,150,Employee,47,N,"5,000",Aug-90
133,Health,150,Farmer,47,Y,"5,000",Aug-90
134,Life,150,Farmer,48,Y,"5,000",Aug-90
135,Life,150,Farmer,48,Y,"5,000",Aug-90
136,Life,150,Farmer,48,Y,"5,000",Aug-90
137,Life,150,Farmer,49,Y,"5,000",Aug-90
138,Life,150,Employee,49,Y,"5,000",Aug-90
139,Life,150,Farmer,49,Y,"5,000",Aug-90
140,Life,150,Farmer,49,Y,"5,000",Aug-90
141,Life,150,Employee,50,N,"5,000",Aug-90
142,Health,150,Farmer,50,N,"5,000",Aug-90
143,Life,150,Employee,51,Y,"5,000",Aug-90
144,Life,150,Employee,51,Y,"5,000",Aug-90
145,Life,150,Student,51,N,"5,000",Aug-90
146,Life,150,Farmer,52,Y,"5,000",Aug-90
147,Life,150,Employee,53,N,"5,000",Aug-90
148,Life,160,Employee,54,N,"5,000",Aug-90
149,Life,999,Farmer,54,Y,"5,000",Aug-90
150,Life,160,Farmer,54,N,"5,000",Aug-90
151,Life,150,Employee,54,Y,"5,000",Aug-90
152,Household,160,Employee,54,Y,"5,000",Aug-90
153,Health,150,Student,55,Y,"5,000",Aug-90
154,Health,150,Farmer,55,Y,"5,000",Aug-90
155,Health,150,Student,55,N,"5,000",Aug-90
156,Health,150,Employee,55,Y,"5,000",Aug-90
157,Life,150,Farmer,56,N,"5,000",Aug-90
158,,150,Employee,56,Y,"5,000",Aug-90
159,Life,150,Farmer,56,Y,"5,000",Aug-90
160,Life,150,Farmer,56,Y,"5,000",Aug-90
161,Health,150,Employee,56,N,"5,000",Aug-90
162,Life,150,Employee,56,Y,"5,000",Aug-90
163,Car,150,Farmer,56,Y,"5,000",Aug-90
164,Life,160,Farmer,57,N,"5,000",Aug-90
165,Car,150,Employee,57,N,"5,000",Aug-90
166,Car,160,Employee,57,Y,"5,000",Aug-90
167,Household,150,Farmer,58,Y,"5,000",Aug-90
168,Car,150,Civil servant,59,N,"5,000",Aug-90
169,Household,150,Farmer,59,Y,"5,000",Aug-90
170,Health,150,Farmer,59,Y,"5,000",Aug-90
171,Life,150,Farmer,59,Y,"5,000",Aug-90
172,Car,150,Farmer,59,N,"5,000",Aug-90
173,Household,150,Farmer,59,Y,"5,000",Aug-90
174,Life,150,Executive emplyee,59,Y,"5,000",Aug-90
175,Life,150,Employee,60,Y,"5,000",Aug-90
176,Life,150,Civil servant,60,Y,"5,000",Aug-90
177,Life,150,Civil servant,60,Y,"5,000",Aug-90
178,Life,150,Civil servant,61,Y,"5,000",Aug-90
179,Health,150,Employee,61,Y,"5,000",Aug-90
180,Life,150,Civil servant,62,Y,"5,000",Aug-90
181,Life,150,Employee,63,N,"5,000",Aug-90
182,Car,150,Farmer,63,Y,"5,000",Aug-90
183,Car,150,Student,63,Y,"5,000",Aug-90
184,Health,150,Employee,65,Y,"5,000",Aug-90
185,Household,160,Employee,65,Y,"5,000",Aug-90
186,Life,160,Employee,65,N,"5,000",Aug-90
187,Health,150,Employee,65,Y,"5,000",Aug-90
188,Life,150,Civil servant,67,Y,"5,000",Aug-90
189,Life,150,Farmer,67,Y,"5,000",Aug-90
190,Household,150,Civil servant,69,Y,"5,000",Aug-90
191,Life,150,Civil servant,71,Y,"5,000",Aug-90
192,Life,150,Civil servant,73,Y,"5,000",Aug-90
193,Life,999,Civil servant,74,Y,"5,000",Aug-90
194,Health,150,Civil servant,77,Y,"5,000",Aug-90
195,Health,150,Civil servant,78,Y,"5,000",Aug-90
196,Household,150,Civil servant,83,Y,"5,000",Aug-90
197,Health,150,Student,16,N,"5,000",Sep-90
198,Health,150,Employee,26,N,"5,000",Sep-90
199,Life,150,Executive emplyee,29,N,"5,000",Sep-90
200,Life,160,Pupil,29,N,"5,000",Sep-90
201,Life,150,Farmer,30,Y,"5,000",Sep-90
202,Life,150,Employee,31,Y,"5,000",Sep-90
203,Life,160,Farmer,31,N,"5,000",Sep-90
204,Life,150,Employee,31,N,"5,000",Sep-90
205,Life,150,Employee,31,Y,"5,000",Sep-90
206,Life,150,Employee,31,N,"5,000",Sep-90
207,Life,150,Employee,32,Y,"5,000",Sep-90
208,Life,150,Student,32,Y,"5,000",Sep-90
209,Health,150,Farmer,32,Y,"5,000",Sep-90
210,Life,150,Employee,32,N,"5,000",Sep-90
211,Life,150,Executive emplyee,33,N,"5,000",Sep-90
212,Life,150,Farmer,33,Y,"5,000",Sep-90
213,Household,150,Employee,33,Y,"5,000",Sep-90
214,Car,150,Farmer,34,Y,"5,000",Sep-90
215,Life,150,Farmer,34,Y,"5,000",Sep-90
216,Car,150,Executive emplyee,34,Y,"5,000",Sep-90
217,Life,150,Employee,34,Y,"5,000",Sep-90
218,Life,150,Employee,35,N,"5,000",Sep-90
219,Life,150,Farmer,35,Y,"5,000",Sep-90
220,Household,150,Farmer,35,Y,"5,000",Sep-90
221,Life,150,Farmer,35,N,,Sep-90
222,Health,150,Farmer,35,Y,"5,000",Sep-90
223,Household,150,Student,35,Y,"5,000",Sep-90
224,Life,150,Farmer,35,N,"5,000",Sep-90
225,Life,150,Employee,35,Y,"5,000",Sep-90
226,Life,150,Executive emplyee,35,N,"5,000",Sep-90
227,Car,160,Employee,35,Y,"5,000",Sep-90
228,Car,150,Student,35,Y,"5,000",Sep-90
229,Life,150,Farmer,36,Y,"5,000",Sep-90
230,Life,160,Executive emplyee,36,N,"5,000",Sep-90
231,Life,150,Farmer,36,N,"5,000",Sep-90
232,Life,150,Farmer,36,N,"5,000",Sep-90
233,Life,150,Employee,37,N,"5,000",Sep-90
234,Life,150,Employee,37,Y,"5,000",Sep-90
235,Life,160,Farmer,37,N,"5,000",Sep-90
236,Life,150,Farmer,37,N,"5,000",Sep-90
237,Life,150,Student,37,N,"5,000",Sep-90
238,Life,150,Executive emplyee,38,N,"5,000",Sep-90
239,Life,150,Employee,38,Y,"5,000",Sep-90
240,Car,130,Farmer,38,N,"5,000",Sep-90
241,Life,150,Farmer,38,N,"5,000",Sep-90
242,Life,999,Employee,38,Y,"5,000",Sep-90
243,Life,150,Farmer,38,N,"5,000",Sep-90
244,Household,150,Employee,39,N,"5,000",Sep-90
245,Household,999,Employee,39,Y,"5,000",Sep-90
246,Car,150,Farmer,39,Y,"5,000",Sep-90
247,Life,150,Farmer,39,Y,"5,000",Sep-90
248,Life,150,Employee,39,Y,"5,000",Sep-90
249,Life,150,Farmer,39,N,"5,000",Sep-90
250,Life,150,Employee,39,Y,"5,000",Sep-90
251,Life,150,Farmer,39,N,"5,000",Sep-90
252,Life,150,Employee,39,Y,"5,000",Sep-90
253,Life,150,Farmer,40,Y,"5,000",Sep-90
254,Life,150,Farmer,40,N,"5,000",Sep-90
255,Life,160,Employee,40,N,"5,000",Sep-90
256,Car,130,Employee,40,Y,"5,000",Sep-90
257,Household,150,Farmer,40,Y,"5,000",Sep-90
258,Life,160,Employee,41,N,"5,000",Sep-90
259,Life,150,Employee,41,N,"5,000",Sep-90
260,Car,150,Farmer,41,Y,"5,000",Sep-90
261,Life,160,Farmer,41,Y,"5,000",Sep-90
262,Life,150,Farmer,41,Y,"5,000",Sep-90
263,Household,150,Employee,41,Y,,Sep-90
264,Car,150,Employee,41,Y,"5,000",Sep-90
265,Life,160,Farmer,41,Y,"5,000",Sep-90
266,Health,150,Employee,41,Y,"5,000",Sep-90
267,Life,150,Executive emplyee,41,Y,"5,000",Sep-90
268,Life,150,Executive emplyee,41,Y,"5,000",Sep-90
269,Life,160,Employee,42,N,"5,000",Sep-90
270,Health,150,Student,42,Y,"5,000",Sep-90
271,Life,150,Employee,42,Y,"5,000",Sep-90
272,Household,150,Farmer,42,Y,"5,000",Sep-90
273,Life,150,Farmer,42,N,"5,000",Sep-90
274,Life,150,Employee,42,Y,"5,000",Sep-90
275,Life,150,Farmer,42,Y,"5,000",Sep-90
276,Car,150,Farmer,42,Y,"5,000",Sep-90
277,Life,150,Employee,42,N,"5,000",Sep-90
278,Household,150,Employee,43,N,"5,000",Sep-90
279,Health,150,Farmer,43,N,"5,000",Sep-90
280,Life,150,Farmer,44,Y,"5,000",Sep-90
281,Car,150,Farmer,44,N,"5,000",Sep-90
282,Health,150,Employee,44,Y,"5,000",Sep-90
283,Life,150,Employee,44,N,"5,000",Sep-90
284,Car,150,Employee,44,Y,"5,000",Sep-90
285,Life,150,Executive emplyee,44,N,"5,000",Sep-90
286,Life,160,Farmer,45,Y,"5,000",Sep-90
287,Life,150,Student,45,N,"5,000",Sep-90
288,Life,150,Farmer,45,N,"5,000",Sep-90
289,Life,150,Employee,45,Y,"5,000",Sep-90
290,Health,150,Employee,45,N,"5,000",Sep-90
291,Life,150,Student,45,Y,"5,000",Sep-90
292,Life,150,Employee,45,Y,"5,000",Sep-90
293,Household,150,Employee,45,Y,"5,000",Sep-90
294,Life,160,Executive emplyee,45,Y,"5,000",Sep-90
295,Life,150,Employee,45,Y,"5,000",Sep-90
296,Car,150,Employee,46,Y,"5,000",Sep-90
297,Household,150,Farmer,46,N,"5,000",Sep-90
298,Household,160,Farmer,46,Y,"5,000",Sep-90
299,Car,150,Farmer,46,N,"5,000",Sep-90
300,Household,160,Employee,47,Y,"5,000",Sep-90
301,Health,150,Employee,47,Y,"5,000",Sep-90
302,Health,150,Farmer,47,Y,"5,000",Sep-90
303,Household,150,Employee,47,N,"5,000",Sep-90
304,Health,160,Employee,47,Y,"5,000",Sep-90
305,Health,150,Civil servant,47,Y,"5,000",Sep-90
306,Life,150,Employee,47,N,"5,000",Sep-90
307,Life,160,Student,47,Y,"5,000",Sep-90
308,Car,150,Farmer,47,N,"5,000",Sep-90
309,Life,150,Farmer,48,Y,"5,000",Sep-90
310,Life,150,Employee,48,Y,"5,000",Sep-90
311,Life,150,Employee,48,Y,,Sep-90
312,Car,150,Employee,48,Y,"5,000",Sep-90
313,Life,150,Farmer,48,N,"5,000",Sep-90
314,Car,150,Farmer,48,Y,"5,000",Sep-90
315,Household,150,Farmer,49,Y,"5,000",Sep-90
316,Life,150,Farmer,49,Y,"5,000",Sep-90
317,Health,150,Farmer,49,Y,"5,000",Sep-90
318,Life,150,Farmer,49,Y,"5,000",Sep-90
319,Health,160,Employee,49,Y,"5,000",Sep-90
320,Life,150,Employee,49,Y,"5,000",Sep-90
321,Life,150,Farmer,49,Y,"5,000",Sep-90
322,Car,150,Employee,49,Y,"5,000",Sep-90
323,Life,150,Farmer,50,Y,"5,000",Sep-90
324,Health,150,Employee,50,Y,"5,000",Sep-90
325,Car,150,Farmer,50,Y,"5,000",Sep-90
326,Health,150,Farmer,50,N,"5,000",Sep-90
327,Life,150,Farmer,50,N,"5,000",Sep-90
328,Life,150,Employee,52,Y,"5,000",Sep-90
329,Car,150,Employee,52,Y,"5,000",Sep-90
330,Household,150,Employee,52,Y,"5,000",Sep-90
331,Household,150,Student,52,Y,"5,000",Sep-90
332,Life,150,Executive emplyee,53,N,"5,000",Sep-90
333,Car,150,Employee,53,Y,"5,000",Sep-90
334,Life,150,Farmer,53,Y,"5,000",Sep-90
335,Household,150,Farmer,53,Y,"5,000",Sep-90
336,Life,150,Farmer,53,Y,"5,000",Sep-90
337,Car,150,Employee,53,Y,"5,000",Sep-90
338,Life,150,Employee,53,Y,"5,000",Sep-90
339,Car,150,Executive emplyee,53,N,"5,000",Sep-90
340,Life,150,Farmer,53,Y,"5,000",Sep-90
341,Car,150,Employee,54,Y,"5,000",Sep-90
342,Life,150,Employee,54,Y,"5,000",Sep-90
343,Life,150,Executive emplyee,54,Y,"5,000",Sep-90
344,Life,150,Student,54,Y,"5,000",Sep-90
345,Life,150,Employee,54,Y,"5,000",Sep-90
346,Health,160,Employee,55,Y,"5,000",Sep-90
347,Car,150,Employee,55,N,"5,000",Sep-90
348,Life,150,Employee,55,Y,"5,000",Sep-90
349,Health,150,Student,55,N,"5,000",Sep-90
350,Life,150,Student,55,Y,"5,000",Sep-90
351,Life,150,Student,55,Y,"5,000",Sep-90
352,Life,150,Employee,56,N,"5,000",Sep-90
353,Car,999,Farmer,56,Y,"5,000",Sep-90
354,Household,150,Farmer,56,Y,"5,000",Sep-90
355,Car,150,Civil servant,56,Y,"5,000",Sep-90
356,Health,150,Pupil,56,Y,"5,000",Sep-90
357,Life,150,Farmer,57,Y,"5,000",Sep-90
358,Life,150,Farmer,57,Y,"5,000",Sep-90
359,Life,150,Civil servant,58,Y,"5,000",Sep-90
360,Car,150,Employee,58,Y,"5,000",Sep-90
361,Life,150,Student,58,N,"5,000",Sep-90
362,Life,150,Employee,58,Y,"5,000",Sep-90
363,Household,150,Employee,58,Y,"5,000",Sep-90
364,Life,150,Farmer,58,N,"5,000",Sep-90
365,Life,150,Employee,58,Y,"5,000",Sep-90
366,Life,150,Employee,58,Y,"5,000",Sep-90
367,Life,150,Employee,58,Y,"5,000",Sep-90
368,Life,150,Employee,58,Y,"5,000",Sep-90
369,Life,150,Farmer,58,Y,"5,000",Sep-90
370,Life,150,Employee,58,N,"5,000",Sep-90
371,Household,150,Executive emplyee,59,Y,"5,000",Sep-90
372,Life,150,Employee,59,Y,"5,000",Sep-90
373,Household,150,Employee,59,Y,"5,000",Sep-90
374,Life,160,Farmer,59,Y,"5,000",Sep-90
375,Health,150,Farmer,59,N,,Sep-90
376,Health,150,Employee,59,Y,"5,000",Sep-90
377,Car,150,Civil servant,60,Y,"5,000",Sep-90
378,Household,160,Civil servant,60,Y,"5,000",Sep-90
379,Car,130,Employee,60,Y,"5,000",Sep-90
380,Health,150,Employee,60,Y,"5,000",Sep-90
381,Car,150,Employee,60,Y,"5,000",Sep-90
382,Health,150,Employee,60,N,"5,000",Sep-90
383,Life,150,Employee,61,N,"5,000",Sep-90
384,Health,150,Employee,61,Y,"5,000",Sep-90
385,Health,150,Farmer,61,N,"5,000",Sep-90
386,Life,150,Civil servant,61,Y,"5,000",Sep-90
387,Car,150,Employee,61,Y,"5,000",Sep-90
388,Life,160,Employee,61,Y,"5,000",Sep-90
389,Life,150,Employee,63,N,"5,000",Sep-90
390,Life,150,Farmer,63,Y,"5,000",Sep-90
391,Car,150,Farmer,63,N,"5,000",Sep-90
392,Health,150,Farmer,63,N,"5,000",Sep-90
393,Life,150,Student,63,Y,"5,000",Sep-90
394,Household,150,Civil servant,64,Y,"5,000",Sep-90
395,Life,150,Civil servant,64,Y,"5,000",Sep-90
396,Life,150,Employee,65,N,"5,000",Sep-90
397,Life,150,Civil servant,65,Y,"5,000",Sep-90
398,Life,999,Civil servant,72,N,"5,000",Sep-90
399,Life,160,Civil servant,73,Y,"5,000",Sep-90
400,Car,999,Civil servant,74,Y,"5,000",Sep-90
401,Household,150,Employee,76,Y,"5,000",Sep-90
402,Life,150,Civil servant,85,Y,"5,000",Sep-90
403,Health,150,Student,25,N,"5,000",Oct-90
404,Health,150,Student,26,Y,"5,000",Oct-90
405,Car,150,Student,26,Y,"5,000",Oct-90
406,Life,150,Employee,26,N,"5,000",Oct-90
407,Life,150,Pupil,27,Y,"5,000",Oct-90
408,Life,150,Student,27,Y,"5,000",Oct-90
409,Life,150,Employee,27,N,"5,000",Oct-90
410,Life,150,Farmer,27,Y,"5,000",Oct-90
411,Car,150,Farmer,27,Y,"5,000",Oct-90
412,Life,150,Farmer,27,Y,"5,000",Oct-90
413,Car,150,Employee,27,N,"5,000",Oct-90
414,Car,150,Farmer,27,Y,"5,000",Oct-90
415,Car,150,Employee,27,N,"5,000",Oct-90
416,Life,150,Farmer,28,Y,"5,000",Oct-90
417,Health,150,Student,28,Y,"5,000",Oct-90
418,Life,150,Employee,28,Y,"5,000",Oct-90
419,Life,150,Student,29,Y,"5,000",Oct-90
420,Health,160,Employee,29,Y,"5,000",Oct-90
421,Household,150,Farmer,29,Y,"5,000",Oct-90
422,Life,150,Student,29,N,"5,000",Oct-90
423,Life,150,Farmer,29,N,"5,000",Oct-90
424,Life,150,Pupil,29,N,"5,000",Oct-90
425,Life,150,Employee,29,N,"5,000",Oct-90
426,Life,150,Farmer,30,Y,"5,000",Oct-90
427,Health,150,Farmer,30,Y,"5,000",Oct-90
428,Life,150,Student,30,Y,"5,000",Oct-90
429,Health,150,Employee,30,N,"5,000",Oct-90
430,Health,160,Student,30,Y,"5,000",Oct-90
431,Health,160,Farmer,30,Y,"5,000",Oct-90
432,Health,160,Farmer,31,N,"5,000",Oct-90
433,Life,150,Employee,31,N,"5,000",Oct-90
434,Life,150,Employee,31,N,"5,000",Oct-90
435,Health,150,Farmer,31,N,"5,000",Oct-90
436,Car,160,Farmer,31,Y,"5,000",Oct-90
437,Car,150,Employee,31,Y,"5,000",Oct-90
438,Life,150,Farmer,32,N,"5,000",Oct-90
439,Household,150,Employee,32,Y,"5,000",Oct-90
440,Car,150,Farmer,32,N,"5,000",Oct-90
441,Car,160,Farmer,32,Y,"5,000",Oct-90
442,Car,150,Farmer,32,N,"5,000",Oct-90
443,Household,150,Employee,32,Y,"5,000",Oct-90
444,Life,150,Farmer,32,N,"5,000",Oct-90
445,Car,150,Employee,32,N,"5,000",Oct-90
446,Life,150,Farmer,32,Y,"5,000",Oct-90
447,Life,150,Farmer,32,Y,"5,000",Oct-90
448,Life,150,Farmer,33,Y,"5,000",Oct-90
449,Life,150,Employee,33,Y,"5,000",Oct-90
450,Life,150,Employee,33,N,"5,000",Oct-90
451,Life,150,Farmer,33,Y,"5,000",Oct-90
452,Life,150,Employee,33,N,"5,000",Oct-90
453,Car,150,Employee,33,Y,"5,000",Oct-90
454,Life,150,Farmer,33,Y,"5,000",Oct-90
455,Life,160,Employee,34,N,"5,000",Oct-90
456,Health,150,Farmer,34,Y,"5,000",Oct-90
457,Life,160,Employee,34,Y,"5,000",Oct-90
458,Life,150,Employee,34,Y,"5,000",Oct-90
459,Life,150,Farmer,34,Y,"5,000",Oct-90
460,Car,160,Farmer,34,Y,"5,000",Oct-90
461,Household,150,Employee,35,Y,"5,000",Oct-90
462,Household,150,Farmer,35,Y,"5,000",Oct-90
463,Life,160,Employee,35,Y,"5,000",Oct-90
464,Health,160,Farmer,35,N,"5,000",Oct-90
465,Health,160,Farmer,35,N,"5,000",Oct-90
466,Health,160,Farmer,35,N,"5,000",Oct-90
467,Life,150,Employee,35,N,"5,000",Oct-90
468,Car,150,Employee,35,Y,"5,000",Oct-90
469,Life,150,Employee,35,Y,"5,000",Oct-90
470,Life,160,Employee,35,N,"5,000",Oct-90
471,Life,150,Employee,35,N,"5,000",Oct-90
472,Car,150,Employee,35,Y,"5,000",Oct-90
473,Health,160,Farmer,35,N,"5,000",Oct-90
474,Life,160,Employee,35,Y,"5,000",Oct-90
475,Health,150,Employee,36,Y,"5,000",Oct-90
476,Life,150,Employee,36,Y,"5,000",Oct-90
477,Household,150,Employee,36,Y,"5,000",Oct-90
478,Car,150,Employee,36,N,"5,000",Oct-90
479,Health,150,Employee,36,Y,"5,000",Oct-90
480,Life,150,Employee,36,N,"5,000",Oct-90
481,Life,160,Employee,36,N,"5,000",Oct-90
482,Health,160,Student,36,N,"5,000",Oct-90
483,Life,150,Farmer,36,Y,"5,000",Oct-90
484,Life,150,Farmer,36,N,"5,000",Oct-90
485,Car,150,Farmer,37,Y,"5,000",Oct-90
486,Life,150,Employee,37,N,,Oct-90
487,Health,150,Farmer,37,N,"5,000",Oct-90
488,Life,150,Farmer,37,N,"5,000",Oct-90
489,Life,150,Student,37,Y,"5,000",Oct-90
490,Life,150,Employee,37,N,"5,000",Oct-90
491,Household,160,Executive emplyee,37,Y,"5,000",Oct-90
492,Household,150,Farmer,37,Y,"5,000",Oct-90
493,Life,150,Farmer,37,Y,"5,000",Oct-90
494,Life,150,Farmer,37,N,"5,000",Oct-90
495,Car,150,Farmer,37,N,"5,000",Oct-90
496,Life,150,Farmer,37,Y,"5,000",Oct-90
497,Health,160,Farmer,37,Y,"5,000",Oct-90
498,Life,150,Employee,37,Y,"5,000",Oct-90
499,Car,150,Employee,37,Y,"5,000",Oct-90
500,Car,150,Employee,37,N,"5,000",Oct-90
501,Car,150,Employee,38,Y,"5,000",Oct-90
502,Life,150,Employee,38,N,"5,000",Oct-90
503,Life,160,Farmer,38,Y,"5,000",Oct-90
504,Household,160,Employee,38,Y,"5,000",Oct-90
505,Health,150,Farmer,38,Y,"5,000",Oct-90
506,Life,150,Employee,38,N,"5,000",Oct-90
507,Health,160,Farmer,38,Y,"5,000",Oct-90
508,Health,150,Executive emplyee,38,N,"5,000",Oct-90
509,Life,150,Employee,38,Y,"5,000",Oct-90
510,Car,150,Employee,38,Y,"5,000",Oct-90
511,Health,150,Farmer,38,Y,"5,000",Oct-90
